,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
osa-miR5788,0.055,-4.893,-0.002,0.094,0.005,0.158,-0.008,-2.487,0.001,-0.241,-0.067,0.022,-0.411,0.0,0.141,0.013,-0.524,0.007,0.01,0.002,-0.003,0.034,-0.076,0.523,0.001,-0.012,0.001,0.006,-0.067,-0.3,0.041,-0.298,-1.679,-0.088,-0.04,-0.001,0.009,-0.037,9.242,0.001,-0.039,0.002,-0.07,1.14,-0.046,-8.376,-0.001,-0.012,-0.004,-0.05,-0.015,1.236,0.076,-1.678,-0.829,-0.056,-0.93,0.002,0.068,0.048,8.701,-0.006,0.02,0.008,0.043,1.278
sly?miR169e-3p,0.139,4.639,0.001,-0.014,0.01,0.263,0.155,-1.729,0.02,-1.155,-0.689,0.357,1.537,0.001,0.199,0.243,8.267,0.01,0.218,0.0,0.211,1.909,-0.076,-3.307,0.0,-0.152,0.0,0.056,0.05,0.427,-0.093,2.62,0.08,0.099,-1.142,-0.013,-0.035,-0.279,-10.598,-0.005,-0.238,0.001,-0.155,-2.402,0.003,7.855,0.0,0.046,0.0,0.118,0.111,1.952,-0.254,2.455,0.691,-0.012,0.658,-0.013,-0.037,-0.141,-8.229,0.002,-0.096,-0.001,-0.099,-1.561
nnu-miR169I-3p,0.195,10.112,-0.001,0.14,0.013,0.325,0.22,-0.84,-0.087,-0.122,-0.583,0.385,2.607,0.001,0.193,0.403,13.246,0.014,0.345,0.005,0.312,3.2,-0.005,0.981,-0.002,-0.095,0.007,0.066,-0.021,1.122,0.014,-2.458,-0.428,0.037,-0.415,-0.003,-0.089,-0.141,-11.376,0.008,-0.147,0.001,-0.108,-1.875,-0.1,-2.44,0.0,-0.133,0.007,0.056,-0.189,-0.089,-0.071,-3.086,-2.792,-0.072,-0.674,-0.008,-0.094,-0.104,-2.799,0.009,-0.121,0.001,-0.122,-0.598
tae-miR169,0.14,5.887,-0.001,0.263,0.005,0.242,0.263,-1.07,-0.013,-0.24,0.243,0.06,1.394,-0.001,0.302,0.195,4.865,0.008,0.17,0.003,0.16,1.277,-0.116,-15.365,-0.003,-0.105,-0.007,-0.063,0.0,-0.255,0.041,-0.463,0.839,-0.095,-3.305,-0.013,-0.021,-0.327,-15.621,-0.011,-0.326,-0.026,-0.221,-3.291,-0.1,-19.483,0.002,-0.181,-0.002,-0.014,-0.111,2.668,-0.063,-1.167,1.127,-0.1,-3.846,-0.01,-0.133,-0.308,-14.447,-0.003,-0.317,-0.013,-0.217,-3.026
sit-miRn11a,0.249,-3.617,0.006,0.116,0.009,0.205,0.0,-2.156,-0.132,-1.349,-0.438,0.075,0.571,0.001,0.108,0.312,3.745,0.015,0.266,0.003,0.343,1.632,0.208,5.602,-0.002,0.035,0.003,-0.009,-0.056,-1.61,-0.06,8.228,-0.906,-0.143,0.429,-0.006,-0.14,-0.023,5.07,0.008,-0.023,-0.032,-0.044,0.56,0.192,-1.967,-0.002,0.062,0.0,0.046,0.118,-2.393,0.04,7.186,-0.198,-0.034,-0.887,-0.024,-0.149,-0.148,-5.029,0.002,-0.118,-0.042,-0.115,-1.247
nnu-novel-miR-1,0.111,-11.083,0.0,0.194,0.007,0.263,0.114,-2.128,-0.022,-0.695,-1.046,0.114,-1.048,0.001,0.183,0.133,2.05,0.011,0.09,0.005,0.13,0.722,0.006,11.087,-0.005,-0.143,-0.006,-0.056,-0.058,1.293,-0.017,2.819,-0.755,-0.047,1.398,-0.005,0.009,-0.029,1.082,-0.009,-0.026,0.018,-0.038,0.087,-0.053,-0.831,-0.002,-0.065,-0.008,-0.176,0.173,0.966,0.002,-3.845,-2.787,0.068,-0.335,0.002,0.009,-0.078,-7.511,-0.015,-0.079,0.024,0.009,-1.238
zma-miR162a,0.058,-11.585,0.0,0.108,0.003,0.105,0.125,-2.038,0.142,-1.801,0.011,0.252,-0.865,0.0,0.183,0.244,6.209,0.003,0.169,0.0,0.316,1.582,-0.105,11.01,-0.002,-0.032,-0.01,-0.111,0.088,-0.772,-0.006,-1.219,0.521,0.044,1.932,-0.021,0.064,0.104,-0.17,-0.015,0.147,-0.012,0.061,0.446,-0.053,8.121,0.001,-0.012,-0.001,0.059,0.046,0.844,-0.129,-3.195,-0.983,0.046,1.762,-0.018,0.05,0.145,-5.718,-0.003,0.143,-0.003,0.071,-0.137
ath-miR778,0.094,3.237,-0.001,0.191,0.004,0.08,0.299,-2.595,0.024,-0.382,-0.585,0.299,1.225,0.0,0.172,0.255,7.72,0.003,0.214,0.012,0.258,1.947,-0.012,4.321,0.004,0.058,-0.007,-0.257,0.213,-0.664,-0.016,7.62,-1.219,0.038,0.189,-0.015,-0.178,-0.156,-4.748,-0.008,-0.107,-0.033,-0.123,-1.234,0.046,-4.636,-0.001,0.028,-0.006,-0.155,0.235,-4.925,-0.194,7.526,1.419,0.084,-1.445,-0.031,-0.189,-0.249,-16.202,-0.008,-0.187,-0.066,-0.133,-3.182
nnu-miR75,0.113,-19.86,-0.001,0.26,0.01,0.45,0.112,-0.224,-0.087,-1.825,-0.105,0.06,-2.677,-0.001,0.212,0.025,-5.728,0.016,-0.039,0.001,0.052,-0.7,-0.092,-5.2,-0.003,0.011,-0.001,-0.105,-0.108,-0.545,-0.048,-0.447,-1.244,-0.042,-0.851,-0.016,-0.118,-0.058,1.145,0.0,-0.074,-0.015,-0.097,0.096,-0.083,-9.04,-0.001,-0.1,-0.008,-0.389,-0.122,-3.05,0.02,4.972,-1.916,-0.044,-0.921,-0.014,-0.083,0.058,1.072,-0.012,0.023,-0.032,0.039,0.425
osa-miR6250,0.16,-18.898,0.005,0.09,0.003,0.16,0.135,-2.059,0.01,-1.99,0.837,0.06,-1.926,-0.001,0.145,0.126,0.303,0.006,0.097,-0.006,0.195,0.405,-0.042,9.625,0.006,0.042,-0.001,-0.168,0.026,0.864,-0.193,2.295,0.012,-0.095,1.115,-0.002,-0.142,-0.056,-1.907,-0.001,-0.008,0.012,-0.047,-0.313,-0.122,5.027,0.009,0.1,-0.001,-0.2,0.022,0.617,-0.011,3.444,0.406,-0.044,1.078,0.015,-0.111,0.105,18.112,0.0,0.079,0.028,0.067,2.833
bna-miR161,0.24,1.764,-0.002,0.06,0.004,0.212,0.287,-0.684,0.053,-0.025,0.509,0.092,0.936,0.002,0.343,0.214,7.717,0.006,0.162,0.012,0.163,1.751,-0.011,5.631,-0.004,0.011,-0.003,0.05,0.013,1.015,-0.09,2.342,-0.959,-0.113,0.311,-0.007,0.039,-0.158,-6.617,-0.006,-0.129,0.003,-0.171,-1.372,0.039,-7.651,0.003,0.122,0.004,0.258,0.111,2.269,0.065,1.917,-0.873,0.047,-1.638,-0.006,-0.044,-0.186,-4.018,0.005,-0.156,-0.001,-0.139,-1.048
esa-miRn8,0.11,-16.29,0.0,0.15,0.006,0.26,0.04,-1.242,0.054,-3.403,0.569,0.11,-1.856,0.0,0.29,0.156,-2.666,0.009,0.091,-0.005,0.34,0.078,0.011,15.811,0.003,-0.105,0.001,0.032,-0.053,-0.598,-0.091,3.082,-1.489,0.063,2.782,0.033,0.084,0.167,6.942,0.0,0.217,0.011,0.137,1.52,-0.044,25.743,-0.003,-0.194,-0.004,0.044,-0.106,-0.778,0.026,2.767,-1.129,0.067,4.244,0.031,0.083,0.154,9.901,-0.01,0.199,0.013,0.078,1.762
rgl-miR164b,0.1,-11.564,0.001,0.114,0.001,0.147,0.199,0.541,-0.157,-0.576,0.947,0.036,-0.882,0.0,0.249,0.175,-3.398,0.001,0.113,0.006,0.158,0.106,-0.117,-2.182,-0.001,0.064,0.001,0.064,0.12,1.983,-0.049,1.477,0.631,-0.018,0.375,0.017,0.073,0.129,13.276,0.001,0.11,0.018,0.056,2.164,-0.065,23.11,0.002,0.009,0.001,0.031,-0.028,0.401,0.224,-0.17,-0.008,0.04,3.626,-0.008,0.053,0.237,14.245,0.002,0.179,0.017,0.118,2.85
sly-PC-69-5p,0.14,-5.022,-0.001,0.09,0.004,0.22,0.278,-0.18,0.026,-0.14,0.554,0.17,0.08,0.0,0.37,0.176,2.63,0.005,0.149,0.006,0.15,0.846,-0.063,16.698,-0.002,-0.011,-0.004,-0.063,0.013,0.75,0.072,1.189,-0.423,-0.084,2.34,0.027,0.137,0.052,1.387,-0.007,0.067,0.011,0.053,0.251,-0.178,13.847,0.002,-0.011,-0.006,-0.156,-0.336,-0.064,0.19,-0.944,-1.961,-0.2,2.657,0.021,-0.067,0.216,9.099,-0.009,0.198,0.013,0.111,2.099
nta-miR172,0.352,2.507,0.004,0.055,0.001,0.014,0.393,-1.815,0.075,-0.208,-0.003,0.042,1.288,0.002,0.288,0.305,11.968,0.003,0.24,0.01,0.211,2.648,0.149,-15.337,-0.004,-0.108,0.0,-0.094,0.325,0.217,-0.231,-1.471,-0.074,-0.012,-2.517,-0.002,0.102,-0.097,-9.606,0.0,-0.118,0.008,-0.05,-1.599,0.099,-18.487,-0.001,0.003,0.001,0.05,0.248,4.228,-0.012,-1.588,0.068,-0.006,-2.838,-0.027,0.207,-0.057,-13.191,0.002,-0.098,-0.002,0.009,-1.958
nnu-novel-miR-29,0.169,6.447,-0.001,0.318,0.008,0.165,0.409,-1.832,0.022,-0.116,-0.127,0.335,1.835,-0.001,0.143,0.334,9.777,0.009,0.25,0.009,0.26,2.444,0.035,-10.587,-0.002,-0.048,-0.003,-0.028,0.095,0.49,-0.009,-0.463,1.176,0.004,-2.026,-0.017,0.026,-0.162,-9.936,-0.005,-0.144,-0.023,-0.065,-2.05,-0.014,-16.029,-0.002,-0.2,-0.007,-0.041,-0.15,-1.044,-0.23,-1.18,3.497,-0.259,-3.464,-0.032,-0.002,-0.405,-22.443,-0.01,-0.312,-0.048,-0.223,-4.524
nnu-novel-miR-6,0.15,-12.405,-0.003,0.19,0.005,0.16,0.3,-1.364,-0.038,-1.4,0.602,0.09,-1.633,-0.001,0.22,0.085,-0.812,0.007,0.019,0.003,0.17,0.142,0.0,1.796,0.004,-0.063,-0.002,-0.105,0.163,-2.575,0.019,0.526,-0.503,-0.084,-0.247,0.022,0.053,-0.134,-4.078,-0.004,-0.115,-0.01,-0.126,-0.993,-0.056,9.759,-0.004,-0.011,-0.003,-0.056,0.011,2.614,-0.1,0.694,-1.212,-0.022,1.259,0.029,0.0,-0.097,-0.065,-0.004,-0.045,0.012,-0.133,-0.229
zma-miR171h,0.061,2.501,-0.001,0.094,0.003,0.091,0.042,-1.437,-0.03,-0.546,-0.551,0.152,1.038,0.0,0.147,0.242,3.53,0.003,0.205,0.011,0.247,1.344,-0.047,-10.15,-0.007,0.044,-0.003,-0.137,-0.026,2.235,0.039,-1.325,0.131,-0.012,-1.538,-0.001,-0.202,-0.065,-2.463,-0.004,-0.073,-0.001,-0.023,-0.583,-0.037,6.119,-0.004,0.046,-0.002,-0.158,-0.006,0.293,0.084,0.805,-0.008,-0.019,0.595,0.027,-0.272,-0.124,2.892,-0.003,-0.084,0.002,-0.142,0.016
osa-miR12470,0.273,-2.207,-0.002,0.14,0.008,0.331,0.227,0.237,-0.144,-0.302,-0.479,0.227,-0.103,0.0,0.202,0.092,2.572,0.014,0.066,0.01,0.134,0.694,-0.143,-0.056,0.002,-0.043,0.002,-0.074,-0.091,-1.372,0.063,0.087,-0.087,0.026,-0.075,0.011,-0.136,-0.113,5.746,0.002,-0.07,0.011,-0.147,0.518,-0.3,2.221,-0.007,-0.095,-0.002,-0.309,-0.136,-0.078,0.014,-0.723,-1.124,0.027,0.986,-0.007,-0.125,0.135,7.99,-0.006,0.111,0.012,0.041,1.63
pfo-mir11a,0.172,-10.022,0.001,0.042,0.001,0.075,0.15,-0.748,-0.058,-0.175,-0.154,0.072,-0.957,0.002,0.114,0.082,1.67,0.004,0.054,0.003,0.058,0.511,0.015,-21.761,-0.003,-0.012,0.0,-0.105,0.0,-1.153,-0.095,-0.652,-2.046,-0.023,-3.194,-0.022,-0.091,-0.119,-9.936,0.001,-0.14,-0.016,-0.088,-1.59,0.015,-16.494,0.001,-0.012,0.0,-0.09,0.077,-2.453,0.074,-1.619,1.736,-0.025,-2.948,-0.033,-0.071,-0.137,-11.677,0.001,-0.159,-0.031,-0.056,-2.096
osa-miR1320-5p,0.391,4.231,0.004,0.139,0.01,0.291,0.247,-0.674,-0.256,-0.471,-0.229,0.141,1.059,-0.001,0.036,0.171,-1.32,0.016,0.125,0.01,0.169,0.466,0.006,-1.501,-0.003,-0.132,-0.001,-0.091,-0.135,-0.759,0.321,0.936,0.382,-0.254,-0.406,0.009,-0.018,-0.102,11.181,0.002,-0.066,0.0,-0.155,1.107,-0.149,-7.482,-0.003,-0.08,0.0,-0.173,-0.084,-0.461,-0.331,0.663,-0.001,-0.093,-1.121,0.035,-0.019,-0.057,-0.942,0.0,-0.037,0.011,-0.046,-0.201
cgr-miRN17,0.05,-4.791,0.003,0.062,0.003,0.198,0.072,-1.323,-0.001,-0.713,1.015,0.112,-0.309,0.0,0.219,0.114,0.439,0.004,0.058,0.007,0.103,0.403,-0.121,11.5,0.001,-0.078,-0.001,0.126,-0.156,0.385,0.0,6.543,-0.003,0.043,1.857,-0.003,0.087,0.039,3.162,-0.003,0.044,-0.011,-0.035,0.523,-0.109,13.534,-0.003,-0.068,0.0,0.145,-0.114,3.008,-0.007,6.025,-1.076,0.045,2.273,-0.004,0.141,0.069,6.539,-0.001,0.103,-0.006,0.023,1.121
tae-miR5200,0.197,-3.533,-0.002,0.302,0.013,0.41,0.019,-1.796,-0.03,-0.252,0.047,0.086,0.31,0.001,0.127,0.229,7.336,0.019,0.188,0.006,0.199,1.736,0.015,-2.435,-0.001,0.096,0.002,0.149,-0.211,0.927,0.024,0.43,-0.052,-0.211,-0.906,0.018,-0.032,-0.088,1.892,0.005,-0.127,0.019,-0.123,-0.013,-0.071,10.546,0.002,-0.015,-0.008,-0.031,0.071,0.332,0.047,3.889,-0.01,-0.105,0.969,0.015,-0.012,-0.162,-0.386,-0.012,-0.124,0.012,-0.195,-0.57
esa-miRn11,0.219,-2.442,0.001,0.047,0.003,0.152,0.164,-0.097,-0.164,-0.098,0.445,0.121,0.63,0.0,0.328,0.293,5.016,0.005,0.231,0.008,0.242,1.64,-0.033,24.08,0.002,-0.008,-0.004,-0.104,-0.079,-0.291,0.076,-3.104,-1.671,-0.167,3.354,0.002,0.15,0.145,3.227,-0.004,0.128,0.016,0.054,1.174,-0.143,-12.401,-0.004,0.0,0.002,0.054,-0.013,0.871,-0.096,-3.589,-1.958,-0.036,-1.135,-0.025,0.161,0.101,-3.061,0.002,0.062,0.003,0.054,0.159
ppt-miR1035,0.335,3.533,0.006,0.233,0.01,0.313,0.172,-1.198,0.0,-0.537,-0.121,0.216,1.619,0.001,0.05,0.373,11.309,0.017,0.292,0.011,0.299,2.771,0.02,10.461,-0.006,0.003,0.002,-0.058,0.155,-0.349,0.055,0.939,0.019,0.135,1.946,0.011,-0.058,0.142,11.292,0.004,0.111,0.005,-0.023,1.974,-0.037,-12.74,-0.01,-0.077,0.0,-0.18,0.254,-0.02,-0.308,-1.096,-0.169,0.102,-2.195,-0.014,-0.062,-0.163,-12.748,0.001,-0.193,-0.008,-0.207,-2.17
osa-miR1884,0.095,-1.78,0.004,0.15,0.006,0.138,0.145,-2.19,0.15,-1.113,-0.35,0.338,0.608,-0.003,0.07,0.261,7.104,0.005,0.223,0.001,0.295,1.864,-0.058,-0.041,-0.002,-0.053,0.001,-0.026,-0.105,-0.603,-0.034,-3.816,-0.912,-0.026,0.467,0.0,0.045,0.156,1.254,0.0,0.138,0.011,0.15,0.815,-0.1,17.207,0.005,-0.111,0.001,0.0,-0.161,2.07,-0.333,-1.083,-0.845,-0.139,2.54,0.024,0.183,0.064,-3.102,0.002,0.116,0.015,0.1,-0.077
osa-miR5504,0.091,-4.309,0.001,0.058,0.002,0.144,0.102,-0.989,-0.034,-0.452,0.156,0.061,-0.479,0.001,0.155,0.025,0.544,0.004,0.003,0.007,0.036,0.164,-0.181,-24.696,-0.001,-0.05,0.0,-0.044,-0.284,-2.672,0.053,-1.842,1.64,-0.035,-4.077,-0.007,-0.228,-0.301,-12.748,-0.002,-0.262,-0.011,-0.17,-2.764,-0.161,5.205,0.0,0.006,0.0,-0.108,-0.186,1.093,-0.057,1.096,2.175,-0.037,0.46,-0.018,-0.127,-0.062,-0.518,0.0,-0.039,-0.003,-0.046,-0.353
osa-miR1846a,0.061,-12.518,-0.001,0.249,0.005,0.269,-0.006,-0.469,0.073,-1.199,-1.56,0.08,-1.451,-0.001,0.094,0.064,-1.699,0.009,0.037,-0.001,0.127,-0.052,0.009,5.525,-0.001,-0.015,-0.002,0.079,-0.167,-0.604,0.029,1.12,0.697,-0.018,1.153,-0.001,-0.061,0.136,4.358,-0.003,0.092,0.011,0.114,1.045,0.08,17.496,-0.001,-0.133,-0.002,0.062,0.006,3.965,0.04,-2.607,-3.076,-0.019,2.412,0.011,0.059,0.083,1.687,-0.003,0.09,0.043,0.099,0.457
nta-miR479,0.095,-5.441,-0.001,0.125,0.002,0.077,0.09,-0.902,0.037,-0.28,-0.239,0.085,-0.063,-0.003,0.225,0.236,5.655,0.002,0.18,-0.001,0.21,1.56,0.047,-6.231,0.0,0.079,-0.009,-0.189,0.163,-2.1,0.081,-0.382,0.378,-0.179,-1.41,-0.027,-0.103,-0.19,-11.186,-0.009,-0.132,-0.028,-0.105,-2.172,0.011,0.34,-0.001,0.083,-0.004,-0.106,0.189,0.251,-0.046,-2.614,-1.043,-0.078,-0.447,-0.026,-0.189,-0.211,-13.435,-0.002,-0.17,-0.009,-0.178,-2.311
sly-miR482e,0.349,-0.921,0.003,0.0,0.005,0.224,0.285,0.627,0.104,0.003,0.457,0.224,0.87,0.0,0.31,0.406,11.215,0.007,0.274,0.013,0.31,2.782,0.202,-2.059,-0.002,0.0,-0.004,0.044,0.155,-1.58,-0.185,0.924,-0.79,-0.126,0.059,0.007,0.111,0.203,8.585,-0.004,0.126,0.008,0.111,1.859,0.096,17.476,0.0,0.0,-0.005,0.05,0.031,0.838,-0.176,-1.421,-2.056,-0.192,3.539,0.013,0.248,0.449,16.186,-0.005,0.341,0.036,0.248,3.87
ppe-miR1511,0.066,-8.082,-0.002,0.061,0.0,0.102,0.1,-1.934,0.046,-0.116,0.195,0.089,-0.774,-0.002,0.169,0.09,2.162,0.0,0.064,-0.002,0.102,0.66,-0.096,3.105,-0.001,-0.047,-0.002,-0.056,0.056,-1.951,-0.005,-0.535,-1.744,0.023,0.573,-0.002,-0.012,0.033,6.954,-0.004,0.018,0.002,-0.015,0.999,-0.043,9.807,0.001,-0.05,-0.003,-0.053,0.012,0.909,0.057,0.446,-1.258,-0.034,1.997,0.007,-0.121,0.174,29.471,-0.004,0.142,0.028,0.019,4.594
mtr-miR1514a,0.31,-0.26,0.003,0.06,0.011,0.345,0.2,-0.818,0.176,-0.155,-0.318,0.25,0.495,0.001,0.15,0.193,10.237,0.014,0.14,0.014,0.225,2.013,0.063,1.048,-0.002,-0.095,0.0,0.153,-0.158,-0.209,-0.265,1.776,0.023,-0.079,-0.053,-0.009,0.0,-0.105,-9.486,-0.002,-0.068,-0.001,-0.079,-1.59,-0.006,3.426,0.001,-0.1,0.001,0.103,-0.056,2.227,-0.323,0.831,-0.163,-0.042,-0.001,-0.009,-0.056,-0.217,-20.648,0.0,-0.138,-0.014,-0.194,-3.559
gma-miR4412,0.042,-2.343,-0.002,0.172,0.008,0.252,0.127,-0.635,-0.035,-1.017,0.277,0.238,0.401,0.003,0.274,0.27,5.543,0.008,0.2,0.009,0.313,1.581,-0.012,-6.149,-0.001,-0.041,0.002,0.155,0.003,0.136,-0.093,-0.93,-1.269,-0.044,-1.296,-0.024,0.123,-0.161,-18.023,0.001,-0.148,-0.011,-0.058,-2.957,-0.012,4.115,0.003,-0.102,-0.001,0.146,-0.096,-1.168,-0.091,2.52,-1.225,-0.173,0.282,-0.037,0.046,-0.154,-10.329,-0.003,-0.087,-0.033,-0.176,-1.806
osa-miR171f,0.319,3.904,-0.005,0.042,0.004,0.102,0.368,-0.286,-0.1,-0.175,-0.421,0.161,0.891,-0.003,0.222,0.136,1.574,0.006,0.116,-0.002,0.114,0.645,-0.053,-17.31,-0.001,-0.123,-0.004,-0.336,0.167,-1.044,-0.171,1.307,0.386,-0.149,-3.155,0.004,-0.044,-0.251,-1.282,-0.004,-0.233,-0.001,-0.213,-0.94,-0.115,9.633,0.001,-0.012,-0.001,-0.294,0.118,0.395,0.077,2.551,0.206,-0.062,1.818,0.01,-0.019,0.199,23.868,0.001,0.111,0.033,0.056,3.956
bra-miR319,0.127,-7.893,-0.004,0.247,0.005,0.186,0.194,-0.054,0.043,-0.357,-1.432,0.139,-0.508,-0.002,0.169,0.193,1.201,0.008,0.151,0.004,0.233,0.686,0.023,-18.127,0.001,0.038,-0.009,-0.36,-0.085,-2.002,0.042,-1.804,0.314,-0.085,-2.218,-0.023,-0.155,0.074,-5.333,-0.008,0.034,-0.013,0.135,-0.479,0.025,-3.542,-0.002,-0.077,-0.002,-0.39,0.022,-1.623,0.095,1.344,0.303,-0.065,-0.139,-0.029,-0.13,0.107,-3.442,0.0,0.063,-0.001,0.102,-0.067
sit-miRn25,0.424,-15.752,0.008,0.139,0.01,0.368,0.152,-1.186,0.074,-2.421,0.152,0.169,-1.365,0.001,0.086,0.275,7.393,0.019,0.183,0.009,0.343,1.938,0.295,16.417,0.001,0.091,0.004,0.117,0.105,0.309,-0.018,-2.409,-0.651,-0.099,2.476,0.006,-0.076,0.138,7.988,0.012,0.137,0.011,0.085,1.747,0.211,-12.143,-0.002,0.096,0.005,0.012,0.053,0.603,-0.12,-5.808,-0.317,-0.105,-1.512,-0.011,-0.139,0.021,-4.801,0.013,-0.012,0.01,-0.028,-0.26
bra-miRC0323,0.166,4.109,0.001,0.208,0.006,0.252,0.003,-0.793,0.157,-0.446,0.371,0.042,1.242,0.0,0.042,0.239,10.202,0.01,0.171,0.011,0.194,2.118,-0.181,-19.185,-0.001,-0.114,-0.004,-0.079,-0.053,-0.448,0.045,1.591,-0.531,-0.067,-3.339,0.021,-0.012,-0.263,-4.304,-0.007,-0.239,-0.004,-0.184,-1.36,-0.099,-10.993,0.002,-0.18,-0.006,-0.155,0.062,-1.503,-0.03,1.102,2.42,0.046,-2.251,0.012,-0.012,-0.274,-10.451,-0.012,-0.186,-0.032,-0.136,-2.507
pfo-mir38a,0.1,3.815,0.002,0.092,0.0,0.025,0.025,-1.778,-0.019,-0.45,-0.097,0.045,1.098,0.0,0.06,0.18,7.085,0.0,0.15,0.006,0.163,1.585,-0.368,-8.049,-0.001,-0.061,-0.004,-0.205,-0.184,0.283,-0.224,-0.763,0.609,-0.058,-1.43,-0.001,-0.095,-0.216,-14.118,-0.01,-0.159,-0.002,-0.145,-2.591,-0.167,-34.203,-0.001,0.103,0.0,-0.017,-0.028,1.213,-0.15,-1.972,0.327,0.05,-5.324,-0.032,-0.083,-0.282,-26.764,0.0,-0.254,-0.015,-0.061,-4.575
sja-miR1508b,0.16,4.025,-0.002,0.043,0.004,0.136,0.164,1.487,-0.172,-0.167,0.789,0.167,1.587,0.002,0.352,0.303,5.616,0.004,0.245,0.017,0.272,1.772,0.039,6.042,0.002,-0.013,-0.002,0.15,-0.18,0.702,0.029,0.824,-0.188,-0.059,1.558,0.019,0.183,0.219,15.781,-0.003,0.16,0.03,0.105,2.877,0.104,12.199,0.002,-0.014,-0.001,0.354,-0.135,5.337,-0.011,0.375,-0.003,-0.125,1.831,0.025,0.167,0.139,12.53,-0.003,0.092,0.041,0.035,2.308
iba-PC-152-3p,0.063,-1.97,0.002,0.204,0.001,0.19,0.17,-0.757,-0.054,-0.431,-0.687,0.145,0.608,0.0,0.222,0.275,5.838,0.001,0.211,0.003,0.268,1.646,-0.15,-12.323,-0.002,-0.036,-0.002,-0.017,-0.121,2.305,-0.07,-1.374,0.07,0.002,-2.168,0.002,-0.083,-0.148,-12.826,-0.002,-0.173,0.011,-0.064,-2.238,-0.105,3.508,-0.001,-0.09,0.003,0.07,-0.258,0.808,-0.084,-1.088,-1.088,-0.05,0.39,0.003,-0.07,-0.073,4.535,0.003,-0.048,0.014,-0.058,0.405
sja-novel-mir13,0.111,-13.922,0.0,0.197,0.008,0.299,0.158,-2.66,0.046,-1.413,-0.774,0.094,-1.717,0.0,0.23,0.017,-2.0,0.011,0.006,-0.007,0.094,-0.217,-0.032,10.165,-0.001,0.152,0.004,0.05,0.0,-0.7,0.089,1.137,-0.943,-0.012,1.229,-0.005,0.009,0.002,3.045,0.006,0.02,-0.002,0.006,0.402,-0.093,-4.099,0.001,0.161,0.002,-0.053,0.0,2.524,-0.02,2.071,-0.23,-0.012,-0.203,-0.025,0.043,0.072,-0.093,0.005,0.048,0.013,0.102,0.309
sly-miR5658,-0.083,-20.759,0.0,0.042,-0.002,-0.064,0.0,-0.887,0.039,-0.332,-0.172,0.011,-2.443,-0.005,-0.03,0.006,-1.036,-0.005,-0.001,-0.001,0.072,-0.022,-0.108,-43.549,-0.001,-0.012,-0.002,-0.161,-0.111,-2.756,0.016,-0.778,2.789,-0.012,-6.141,-0.017,-0.199,-0.216,-9.453,-0.005,-0.201,-0.023,-0.091,-2.123,0.238,55.947,0.003,-0.012,0.005,0.142,-0.059,-1.519,0.084,9.108,2.273,0.198,6.956,-0.014,0.124,0.028,0.297,0.008,0.103,-0.039,0.068,-0.483
ahy-miR482,0.172,7.575,-0.001,0.0,0.003,0.199,0.147,1.683,-0.192,-0.003,1.186,0.199,2.248,0.001,0.343,0.397,4.952,0.003,0.32,0.015,0.343,1.893,-0.126,-26.954,-0.001,0.0,0.0,-0.032,-0.047,-0.904,-0.062,-0.5,-0.949,0.009,-4.16,-0.02,-0.193,-0.269,-13.301,0.0,-0.228,-0.022,-0.193,-2.541,-0.015,-39.008,0.001,0.0,-0.001,-0.173,0.031,-2.306,-0.022,-0.737,-0.53,-0.087,-6.67,-0.032,-0.372,-0.515,-21.555,0.001,-0.448,-0.044,-0.372,-4.491
